title,writer,publisher,school,id_number,call_num,description,pubDate,img,catgory,rental_count,like_count,book,member,affiliation,rental_requset_member,rental_requset_status,rental_requset_data,rental_status,over_due_status,return_date,reservation_count
 새로 쓴 마음을 읽으면 사람이 재미있다,최광선,사계절출판사,대덕소프트웨어마이스터고등학교,EM00009343,182.1 최15ㅁ,"직장생활, 남성과 여성, 음식, 비밀과 거짓말 등 일상생활의 다양한 풍경에서 잡아낸 심리학의 원리들을 들려주는 책이다. 한국 정서에 맞는 상황 설정으로 자기 자신의 심리적 특성을 발견할 수 있도록 한다. 1997년 출간되었던 책에서 최근 10여년간의 심리학 연구 성과를 반영하여 새로이 쓴 개정판이다.",2006-03-20,https://image.aladin.co.kr/product/63/61/cover500/8958281200_1.jpg,국내도서>자기계발>인간관계>교양심리학,0,0,1,,1,,False,,False,False,,0
삼국지 전투에서 배우는 이기는 법,츠게히사요시,예문,대덕소프트웨어마이스터고등학교,EM00009413,325.04 츠14ㅅ,삼국지의 다양한 인간군상과 영웅들의 지략에서 현대기업에 적용할 경영의 지혜를 뽑아냈다.  -- 한국경제신문,2003-01-15,https://image.aladin.co.kr/product/39/59/cover500/8956590109_1.gif,국내도서>경제경영>CEO/비즈니스맨을 위한 능력계발>성공학/경력관리,0,0,1,,1,,False,,False,False,,0
세계가 놀란 히딩크의 힘,최영균,중앙M＆B,대덕소프트웨어마이스터고등학교,EM00005578,818 최64ㅅ,"한국축구를 세계적 수준으로 끌어올려 온국민을 열광케 만든 장본인, 히딩크에 대한 궁금증을 달랠 수 있는 책이 드디어 나왔다. 네덜란드 텔레그래프지 기자 등 총 26명의 국내외 저널리스트들이 쓴 이 책을 통해 월드컵에 임하는 히딩크의 심경, 전술 훈련 기법, 조직 운영 전략 등을 엿볼 수 있기 때문.",2002-06-27,https://image.aladin.co.kr/product/36/23/cover500/8983757833_1.gif,국내도서>자기계발>리더십>리더십,0,0,1,,1,,False,,False,False,,0
40대에 하지 않으면 안될 50가지,나카타니 아키히로,바움,대덕소프트웨어마이스터고등학교,EM00005962,199.1 아878ㅅ,"<20대에 하지 않으면 안될 50가지>, <30대에 하지 않으면 안될 50가지>로 수백만 독자들에게 삶의 지침과 구체적인 행복방법을 제시해준 '성공 전도사' 나카타니 아키히로가 40대에게 띄우는 희망의 메시지다.",2005-08-20,https://image.aladin.co.kr/product/57/73/cover500/8958830115_1.jpg,국내도서>자기계발>중년의 자기계발,0,0,1,,1,,False,,False,False,,0
배려,한상복,위즈덤하우스,대덕소프트웨어마이스터고등학교,EM00017409,325.04 한51ㅂ c.13,"성공이란, 상대가 원하는 것을 충실하게 주다 보면 자연스럽게 돌아오는 대가이다. 경쟁자를 쓰러뜨리거나 누군가를 밟고 일어선다고 해서 이룰 수 있는 것이 아니다. 성공 자체만을 목표로 하고 달려가는 사람은 결코 성공할 수 없다. '배려'와 '나눔'은 타인이 아닌 결국 나 자신을 위한 배려이다.",2006-01-10,https://image.aladin.co.kr/product/61/20/cover500/s722635387_2.jpg,국내도서>자기계발>인간관계>인간관계,0,0,1,,1,,False,,False,False,,0
배려,한상복,위즈덤하우스,대덕소프트웨어마이스터고등학교,EM00017411,325.04 한51ㅂ c.15,"성공이란, 상대가 원하는 것을 충실하게 주다 보면 자연스럽게 돌아오는 대가이다. 경쟁자를 쓰러뜨리거나 누군가를 밟고 일어선다고 해서 이룰 수 있는 것이 아니다. 성공 자체만을 목표로 하고 달려가는 사람은 결코 성공할 수 없다. '배려'와 '나눔'은 타인이 아닌 결국 나 자신을 위한 배려이다.",2006-01-10,https://image.aladin.co.kr/product/61/20/cover500/s722635387_2.jpg,국내도서>자기계발>인간관계>인간관계,0,0,1,,1,,False,,False,False,,0
생각의 충돌,김병원,자유지성사,대덕소프트웨어마이스터고등학교,EM00000281,171 김44ㅅ,,2000-12-11,https://image.aladin.co.kr/product/25/98/cover500/8979971052_1.gif,국내도서>자기계발>협상/설득/화술>화술,0,0,1,,1,,False,,False,False,,0
직장생활 정글의 법칙,박윤선,매일경제신문사(매경출판),대덕소프트웨어마이스터고등학교,IT00005027,325.211 박66ㅈ,"알토란 같은 직장생활의 노하우를 가감 없이 공개했다. 이 책의 조언은 일 잘하는 상사의 지시처럼 명쾌하기만 하다. 기본 업무 스킬을 업그레이드하는 방법부터 상사, 동료, 후배, 클라이언트와의 관계별 처세술도 함께 담았다.",2012-10-05,https://image.aladin.co.kr/product/1994/15/cover500/8974428423_1.jpg,국내도서>자기계발>인간관계>인간관계,0,0,1,,1,,False,,False,False,,0
 첫발을 내딛는 세상의 모든 그녀들을 위한 직장생활백서,김두희,꿈꾸는 별,대덕소프트웨어마이스터고등학교,IT00005032,325.211 김26ㅈ c.2,이 책은 여자임을 오히려 더 당당히 내세워 한 발 더 나아갈 길을 제시하고 있다. 여자가 아닌 여자라는 사람으로서 당신 안의 넘치는 끼과 깝을 제대로 부려서 세상을 향해 값있게 갑질하는 사람으로 당당한 나의 미래를 당기는 데 필요한 도움을 줄 것이다.,2016-03-02,https://image.aladin.co.kr/product/7871/85/cover500/k762434623_1.jpg,국내도서>자기계발>여성의 자기계발,0,0,1,,1,,False,,False,False,,0
회사의 언어   직장 언어 탐구 생활,김남인,어크로스,대덕소프트웨어마이스터고등학교,IT00005036,325.26 김192ㅎ c.2,"핵심을 짚어내고 박수 받고 분위기를 반전시키는 직원의 언어 습관은 무엇일까? 여유 있게 상사를 리드하는 신입 사원의 질문, 표현이 서툰 동기의 존재감을 발휘하는 이메일 쓰기, 듣기 고수 부장님의 노트 필기법까지. 센스 있게 듣고 제대로 표현해 나와 조직의 목표를 성취해내는 ‘회사의 언어’가 펼쳐진다.",2016-06-10,https://image.aladin.co.kr/product/8511/66/cover500/8997379925_1.jpg,국내도서>자기계발>협상/설득/화술>화술,0,0,1,,1,,False,,False,False,,0
